path,old_code,new_code,action,split,doc_split
ThaiCharacter Dataset/round2/210/bc_018sg_4_169.jpg,210,168.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_019sg_6_65.jpg,210,195.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_019tg_8_119.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/bc_020sg_7_50.jpg,210,195.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_2_21.jpg,210,216.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_3_117.jpg,210,168.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_3_363.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_3_48.jpg,210,180.0,move,val,val
ThaiCharacter Dataset/round2/210/bc_020tg_3_6.jpg,210,212.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_4_214.jpg,210,212.0,move,train,val
ThaiCharacter Dataset/round2/210/bc_020tg_4_245.jpg,210,230.0,move,train,val
ThaiCharacter Dataset/round2/210/be_002sg_5_100.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_5_5.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_6_201.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_6_260.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_7_125.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_7_213.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_7_9.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_9_204.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002sg_9_71.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002tg_10_78.jpg,210,228.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002tg_7_344.jpg,210,195.0,move,train,train
ThaiCharacter Dataset/round2/210/be_002tg_9_171.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_003sg_4_118.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_4_440.jpg,210,227.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003sg_4_443.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_4_75.jpg,210,227.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003sg_6_21.jpg,210,227.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003sg_6_29.jpg,210,227.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003sg_7_125.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_7_24.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_7_77.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_9_135.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003sg_9_166.jpg,210,227.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003sg_9_25.jpg,210,227.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_2_111.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_2_128.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_2_14.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_2_32.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_127.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_169.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_188.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_248.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_3.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_370.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_394.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_468.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_4_74.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_128.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_164.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_18.jpg,210,199.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003tg_8_209.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_214.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_224.jpg,210,199.0,move,val,val
ThaiCharacter Dataset/round2/210/be_003tg_8_338.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_342.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_368.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_443.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_8_85.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_122.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_13.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_144.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_150.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_154.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_229.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_237.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_003tg_9_63.jpg,210,199.0,move,train,val
ThaiCharacter Dataset/round2/210/be_004sg_2_128.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_2_171.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_2_29.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_2_38.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_4_138.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_6_7.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_7_0.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_7_17.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_7_172.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_004sg_7_309.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004sg_7_481.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_126.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_171.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_004tg_2_191.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_251.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_368.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_372.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_2_99.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_4_226.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_113.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_128.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_143.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_004tg_6_164.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_256.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_301.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_312.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_389.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_46.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_004tg_6_463.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_476.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_51.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_55.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_6_72.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_004tg_7_92.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_2_186.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_2_195.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_2_267.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_2_28.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_2_59.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_3_149.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_005sg_3_90.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_1_231.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_1_289.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_1_313.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_1_322.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_1_377.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_1_431.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_13.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_155.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_169.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_173.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_229.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_234.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_336.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_3_384.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_399.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_3_403.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_62.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_66.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_3_9.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_100.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_146.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_341.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_425.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_4_429.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_4_64.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_68.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_75.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_4_96.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_6_140.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_6_43.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_006tg_8_1.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_126.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_130.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_141.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_169.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_215.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_220.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_223.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_245.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_249.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_269.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_006tg_8_5.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_3_223.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007sg_3_309.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_3_42.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_3_50.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007sg_4_122.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_4_265.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_4_38.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_6_162.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007sg_6_422.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_6_438.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007sg_6_65.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007sg_7_210.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_7_212.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_7_242.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_7_322.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_7_408.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007sg_7_473.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_3_26.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_3_290.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_3_304.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_4_10.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_115.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_14.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_183.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_199.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_203.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_4_249.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_4_303.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_6_149.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_6_219.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_6_223.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_6_416.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_6_48.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_6_486.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_211.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_243.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_248.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_7_318.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_7_322.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_371.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_007tg_7_375.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_463.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_007tg_7_482.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_4_242.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_4_304.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008sg_4_308.jpg,210,226.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_4_334.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008sg_4_338.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_5_208.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_5_253.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008sg_5_383.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_5_77.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008sg_7_75.jpg,210,226.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008tg_4_243.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_258.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_305.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_335.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_339.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_411.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_445.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008tg_4_482.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008tg_4_53.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_4_73.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_11.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_126.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_200.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_208.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008tg_7_223.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_230.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_008tg_7_257.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_397.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_404.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_460.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_464.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_55.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_59.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_008tg_7_97.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_3_160.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_3_279.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_3_373.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_3_428.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_3_46.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_4_192.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_4_229.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009sg_4_250.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_2_193.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_2_230.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_2_251.jpg,210,199.0,move,val,train
ThaiCharacter Dataset/round2/210/be_009tg_2_443.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_2_74.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_1.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_122.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_268.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_279.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_373.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_428.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_009tg_4_46.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_1_175.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_1_284.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_1_334.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_1_359.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_1_79.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_111.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_011sg_2_158.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_165.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_210.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_231.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_386.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_2_55.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011sg_4_101.jpg,210,227.0,move,val,train
ThaiCharacter Dataset/round2/210/be_011sg_4_82.jpg,210,227.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_2_252.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_4_11.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_4_177.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_4_489.jpg,210,161.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_4_53.jpg,210,199.0,move,train,train
ThaiCharacter Dataset/round2/210/be_011tg_5_166.jpg,210,199.0,move,train,train
