path,label,true_char,pred,pred_char,p_true,p_pred,margin,fold
ThaiCharacter Dataset/round2/205/bc_008tg_14_90.jpg,39,อ,3,ค,0.0006857,0.907,0.9067,3
ThaiCharacter Dataset/round2/180/be_017sg_6_330.jpg,15,ด,16,ต,0.004524,0.911,0.9067,1
ThaiCharacter Dataset/round2/171/be_008tg_5_62.jpg,8,ซ,7,ช,0.001267,0.9077,0.9062,4
ThaiCharacter Dataset/round2/185/bc_011sg_1_16.jpg,20,น,28,ม,0.000989,0.9062,0.9053,4
ThaiCharacter Dataset/round2/185/bc_017sg_2_18.jpg,20,น,21,บ,0.002338,0.9077,0.9053,0
ThaiCharacter Dataset/round2/186/be_008tg_4_98.jpg,21,บ,20,น,0.002413,0.9077,0.9053,2
ThaiCharacter Dataset/round2/171/be_007sg_3_0.jpg,8,ซ,7,ช,0.01079,0.916,0.9053,2
ThaiCharacter Dataset/round2/194/be_018tg_7_188.jpg,29,ย,35,ษ,0.004242,0.909,0.905,0
ThaiCharacter Dataset/round2/164/ce_001sg_2_63.jpg,3,ค,15,ด,0.002213,0.907,0.905,3
ThaiCharacter Dataset/round2/197/bc_008tg_8_94.jpg,32,ล,17,ถ,0.003052,0.9077,0.905,4
ThaiCharacter Dataset/round2/161/bc_020sg_3_480.jpg,0,ก,3,ค,0.002935,0.9077,0.905,1
ThaiCharacter Dataset/round2/168/be_005tg_4_58.jpg,5,จ,49,ู,0.002422,0.907,0.905,3
ThaiCharacter Dataset/round2/194/bl_003sg_3_159.jpg,29,ย,42,ั,0.002754,0.907,0.9043,3
ThaiCharacter Dataset/round2/209/be_001tg_5_34.jpg,42,ั,48,ุ,0.001912,0.9053,0.9033,3
ThaiCharacter Dataset/round2/164/be_020tg_2_287.jpg,3,ค,39,อ,0.002125,0.9053,0.9033,3
ThaiCharacter Dataset/round2/185/be_013sg_2_127.jpg,20,น,28,ม,0.00142,0.905,0.9033,3
ThaiCharacter Dataset/round2/162/bl_008sg_3_490.jpg,1,ข,7,ช,0.001376,0.905,0.9033,1
ThaiCharacter Dataset/round2/203/bc_002tg_10_187.jpg,37,ห,18,ท,0.002028,0.9053,0.9033,4
ThaiCharacter Dataset/round2/183/bl_006tg_8_380.jpg,18,ท,25,พ,0.001208,0.904,0.903,0
ThaiCharacter Dataset/round2/163/bc_009sg_4_23.jpg,2,ฃ,1,ข,0.001614,0.904,0.9023,0
ThaiCharacter Dataset/round2/195/bc_014tg_6_179.jpg,30,ร,33,ว,0.003775,0.9062,0.9023,2
ThaiCharacter Dataset/round2/199/bl_007sg_3_219.jpg,33,ว,30,ร,0.005413,0.907,0.902,2
ThaiCharacter Dataset/round2/210/be_004sg_2_372.jpg,43,า,33,ว,0.00118,0.903,0.902,1
ThaiCharacter Dataset/round2/210/be_004sg_2_197.jpg,43,า,53,ใ,0.001133,0.9023,0.9014,3
ThaiCharacter Dataset/round2/185/be_020tg_5_41.jpg,20,น,42,ั,0.001549,0.9023,0.901,3
ThaiCharacter Dataset/round2/162/be_014sg_4_304.jpg,1,ข,42,ั,0.00165,0.9023,0.901,1
ThaiCharacter Dataset/round2/185/be_001sg_2_13.jpg,20,น,21,บ,0.001755,0.9023,0.9004,0
ThaiCharacter Dataset/round2/209/bc_012sg_2_300.jpg,42,ั,59,้,0.010185,0.91,0.9,1
ThaiCharacter Dataset/round2/180/be_016tg_11_330.jpg,15,ด,16,ต,0.001388,0.9014,0.9,0
ThaiCharacter Dataset/round2/205/be_005sg_4_125.jpg,39,อ,3,ค,0.001699,0.9014,0.9,4
ThaiCharacter Dataset/round2/205/bc_002sg_6_35.jpg,39,อ,29,ย,0.0009017,0.9004,0.8994,3
ThaiCharacter Dataset/round2/231/bc_014sg_6_328.jpg,57,็,45,ี,0.001852,0.9014,0.8994,3
ThaiCharacter Dataset/round2/186/be_003tg_4_200.jpg,21,บ,20,น,0.001685,0.9004,0.899,4
ThaiCharacter Dataset/round2/193/bl_010sg_6_411.jpg,28,ม,21,บ,0.001232,0.9004,0.899,1
ThaiCharacter Dataset/round2/170/be_016sg_11_83.jpg,7,ช,1,ข,0.001189,0.9,0.899,0
ThaiCharacter Dataset/round2/185/bc_008tg_14_291.jpg,20,น,42,ั,0.001301,0.9,0.8984,4
ThaiCharacter Dataset/round2/233/bc_016tg_3_257.jpg,59,้,42,ั,0.004498,0.9023,0.898,2
ThaiCharacter Dataset/round2/170/bl_008sg_3_337.jpg,7,ช,8,ซ,0.02385,0.922,0.898,3
ThaiCharacter Dataset/round2/197/bl_002sg_7_152.jpg,32,ล,62,๐,0.00646,0.904,0.8975,3
ThaiCharacter Dataset/round2/181/bc_018sg_3_56.jpg,16,ต,3,ค,0.002787,0.9,0.897,1
ThaiCharacter Dataset/round2/209/bl_005tg_7_92.jpg,42,ั,59,้,0.002184,0.899,0.897,1
ThaiCharacter Dataset/round2/180/bc_019tg_7_248.jpg,15,ด,16,ต,0.00326,0.9004,0.897,0
ThaiCharacter Dataset/round2/164/be_017sg_7_382.jpg,3,ค,39,อ,0.001655,0.8984,0.897,0
ThaiCharacter Dataset/round2/233/bc_016tg_4_18.jpg,59,้,42,ั,0.002798,0.9,0.897,2
ThaiCharacter Dataset/round2/161/bc_012sg_4_240.jpg,0,ก,3,ค,0.001811,0.8984,0.8965,4
ThaiCharacter Dataset/round2/181/bc_017sg_5_130.jpg,15,ด,16,ต,0.01525,0.911,0.896,2
ThaiCharacter Dataset/round2/168/be_011sg_5_72.jpg,5,จ,49,ู,0.003128,0.8984,0.8955,3
ThaiCharacter Dataset/round2/181/bc_018sg_3_93.jpg,16,ต,3,ค,0.003466,0.899,0.8955,4
ThaiCharacter Dataset/round2/210/be_008sg_7_9.jpg,43,า,53,ใ,0.00463,0.9,0.8955,3
ThaiCharacter Dataset/round2/193/be_004sg_4_19.jpg,28,ม,42,ั,0.001691,0.8965,0.895,0
ThaiCharacter Dataset/round2/180/be_014tg_2_126.jpg,15,ด,16,ต,0.005768,0.9004,0.8945,0
ThaiCharacter Dataset/round2/164/be_019sg_8_200.jpg,3,ค,39,อ,0.001744,0.8965,0.8945,0
ThaiCharacter Dataset/round2/183/bc_004tg_3_190.jpg,18,ท,37,ห,0.001953,0.8965,0.8945,1
ThaiCharacter Dataset/round2/162/be_008sg_5_18.jpg,1,ข,42,ั,0.001997,0.896,0.894,1
ThaiCharacter Dataset/round2/180/be_004tg_7_36.jpg,15,ด,16,ต,0.003527,0.8975,0.894,0
ThaiCharacter Dataset/round2/195/bl_005tg_9_164.jpg,30,ร,58,่,0.001869,0.896,0.894,1
ThaiCharacter Dataset/round2/162/bc_019sg_6_450.jpg,1,ข,7,ช,0.00789,0.9014,0.8936,0
ThaiCharacter Dataset/round2/233/be_001sg_5_159.jpg,59,้,42,ั,0.001501,0.895,0.8936,4
ThaiCharacter Dataset/round2/161/bc_020sg_3_334.jpg,0,ก,39,อ,0.001055,0.8945,0.8936,2
ThaiCharacter Dataset/round2/210/be_004tg_4_34.jpg,43,า,33,ว,0.001265,0.895,0.8936,0
ThaiCharacter Dataset/round2/170/be_006sg_4_84.jpg,7,ช,1,ข,0.00429,0.8975,0.893,1
ThaiCharacter Dataset/round2/195/bc_018sg_3_23.jpg,30,ร,19,ธ,0.00398,0.8965,0.8926,3
ThaiCharacter Dataset/round2/164/bc_007sg_6_299.jpg,3,ค,15,ด,0.003231,0.896,0.8926,3
ThaiCharacter Dataset/round2/161/bc_019tg_8_137.jpg,0,ก,17,ถ,0.003664,0.8965,0.8926,4
ThaiCharacter Dataset/round2/186/bc_014sg_6_340.jpg,21,บ,28,ม,0.002316,0.8945,0.892,4
ThaiCharacter Dataset/round2/194/bl_003sg_6_33.jpg,29,ย,39,อ,0.002493,0.8945,0.892,3
ThaiCharacter Dataset/round2/197/bc_018sg_6_33.jpg,32,ล,36,ส,0.00456,0.8965,0.892,3
ThaiCharacter Dataset/round2/202/bc_018sg_4_194.jpg,36,ส,32,ล,0.00903,0.9004,0.8916,4
ThaiCharacter Dataset/round2/181/bc_017sg_3_261.jpg,16,ต,15,ด,0.0067,0.8984,0.8916,0
ThaiCharacter Dataset/round2/180/bc_014sg_6_253.jpg,15,ด,3,ค,0.006092,0.8975,0.8916,4
ThaiCharacter Dataset/round2/195/bc_019tg_7_159.jpg,30,ร,19,ธ,0.0158,0.907,0.8916,4
ThaiCharacter Dataset/round2/197/bc_004sg_5_26.jpg,32,ล,15,ด,0.00125,0.8926,0.891,0
ThaiCharacter Dataset/round2/205/bc_005sg_4_480.jpg,39,อ,15,ด,0.003176,0.8945,0.891,0
ThaiCharacter Dataset/round2/185/bc_004tg_5_70.jpg,20,น,21,บ,0.00171,0.8926,0.8906,3
ThaiCharacter Dataset/round2/183/bc_011sg_3_252.jpg,18,ท,0,ก,0.004463,0.895,0.8906,3
ThaiCharacter Dataset/round2/185/bc_018sg_4_27.jpg,20,น,28,ม,0.00179,0.892,0.89,3
ThaiCharacter Dataset/round2/233/bc_020sg_4_227.jpg,59,้,42,ั,0.00884,0.8984,0.8896,1
ThaiCharacter Dataset/round2/197/be_020sg_2_82.jpg,32,ล,36,ส,0.003155,0.892,0.889,1
ThaiCharacter Dataset/round2/186/be_007sg_7_143.jpg,21,บ,20,น,0.007027,0.896,0.889,3
ThaiCharacter Dataset/round2/227/bc_007sg_6_300.jpg,53,ใ,52,โ,0.006977,0.896,0.889,3
ThaiCharacter Dataset/round2/217/be_019sg_6_248.jpg,49,ู,42,ั,0.00349,0.892,0.8887,0
ThaiCharacter Dataset/round2/210/bc_020tg_3_363.jpg,53,ใ,43,า,0.00178,0.8906,0.8887,3
ThaiCharacter Dataset/round2/180/bl_004sg_7_145.jpg,15,ด,16,ต,0.003944,0.8926,0.8887,0
ThaiCharacter Dataset/round2/248/bc_007tg_5_159.jpg,70,๘,57,็,0.02599,0.914,0.888,1
ThaiCharacter Dataset/round2/180/be_017sg_7_278.jpg,15,ด,16,ต,0.005997,0.8936,0.8877,0
ThaiCharacter Dataset/round2/180/be_016tg_8_264.jpg,15,ด,16,ต,0.01032,0.8975,0.887,0
ThaiCharacter Dataset/round2/205/bc_002tg_5_142.jpg,39,อ,32,ล,0.004498,0.891,0.8867,0
ThaiCharacter Dataset/round2/203/bc_004sg_4_207.jpg,37,ห,25,พ,0.001741,0.888,0.886,0
ThaiCharacter Dataset/round2/170/bl_006tg_3_177.jpg,7,ช,8,ซ,0.01656,0.9023,0.8857,1
ThaiCharacter Dataset/round2/210/be_011tg_4_489.jpg,0,ก,44,ิ,0.001911,0.887,0.8853,1
ThaiCharacter Dataset/round2/205/bc_002tg_8_155.jpg,39,อ,32,ล,0.00624,0.8906,0.8843,1
ThaiCharacter Dataset/round2/227/be_018sg_7_152.jpg,53,ใ,52,โ,0.00459,0.888,0.884,0
ThaiCharacter Dataset/round2/186/be_003sg_7_105.jpg,21,บ,20,น,0.00848,0.892,0.884,3
ThaiCharacter Dataset/round2/170/bl_011sg_4_58.jpg,7,ช,1,ข,0.01897,0.903,0.884,4
ThaiCharacter Dataset/round2/194/bl_003sg_3_112.jpg,29,ย,42,ั,0.00305,0.8867,0.884,4
ThaiCharacter Dataset/round2/199/bc_011sg_1_11.jpg,33,ว,30,ร,0.01108,0.8945,0.8833,0
ThaiCharacter Dataset/round2/210/bc_020sg_4_85.jpg,43,า,33,ว,0.00389,0.887,0.8833,2
ThaiCharacter Dataset/round2/195/bc_016sg_6_0.jpg,30,ร,33,ว,0.002895,0.8853,0.8823,4
ThaiCharacter Dataset/round2/186/be_017sg_7_260.jpg,21,บ,20,น,0.00884,0.891,0.8823,1
ThaiCharacter Dataset/round2/181/bc_007sg_8_14.jpg,16,ต,15,ด,0.01563,0.8975,0.882,0
ThaiCharacter Dataset/round2/201/be_015tg_1_88.jpg,35,ษ,28,ม,0.002153,0.883,0.881,1
ThaiCharacter Dataset/round2/199/bc_011sg_1_6.jpg,33,ว,30,ร,0.002522,0.8833,0.881,4
ThaiCharacter Dataset/round2/170/bc_014tg_6_267.jpg,7,ช,8,ซ,0.01159,0.8926,0.881,0
ThaiCharacter Dataset/round2/186/be_003sg_9_303.jpg,21,บ,20,น,0.008026,0.8887,0.881,1
ThaiCharacter Dataset/round2/180/be_002sg_7_37.jpg,15,ด,16,ต,0.010056,0.891,0.881,0
ThaiCharacter Dataset/round2/168/be_013tg_1_140.jpg,5,จ,1,ข,0.003542,0.8833,0.88,1
ThaiCharacter Dataset/round2/210/be_017tg_7_172.jpg,43,า,55,ๅ,0.013245,0.8926,0.8794,0
ThaiCharacter Dataset/round2/197/bc_015sg_4_13.jpg,32,ล,36,ส,0.00942,0.8887,0.8794,4
ThaiCharacter Dataset/round2/233/bc_014tg_5_481.jpg,59,้,42,ั,0.01043,0.8887,0.8784,4
ThaiCharacter Dataset/round2/180/be_003sg_9_106.jpg,15,ด,16,ต,0.00856,0.887,0.8784,0
ThaiCharacter Dataset/round2/180/be_006sg_6_37.jpg,15,ด,16,ต,0.01455,0.8926,0.878,1
ThaiCharacter Dataset/round2/201/be_014tg_3_225.jpg,35,ษ,28,ม,0.00234,0.8804,0.878,0
ThaiCharacter Dataset/round2/180/be_017sg_7_404.jpg,15,ด,16,ต,0.011444,0.888,0.877,0
ThaiCharacter Dataset/round2/179/be_007sg_6_80.jpg,14,ณ,9,ญ,0.02203,0.899,0.877,4
ThaiCharacter Dataset/round2/210/bc_005sg_7_11.jpg,43,า,53,ใ,0.007046,0.8833,0.8765,1
ThaiCharacter Dataset/round2/162/ce_001sg_2_208.jpg,1,ข,29,ย,0.00648,0.883,0.8765,4
ThaiCharacter Dataset/round2/213/bl_003sg_7_156.jpg,45,ี,47,ื,0.02675,0.903,0.876,4
ThaiCharacter Dataset/round2/217/bc_005sg_4_375.jpg,49,ู,42,ั,0.002989,0.879,0.876,4
ThaiCharacter Dataset/round2/209/bc_002tg_5_313.jpg,42,ั,59,้,0.00789,0.8833,0.8755,4
ThaiCharacter Dataset/round2/209/bc_006tg_3_439.jpg,42,ั,59,้,0.0401,0.914,0.874,2
ThaiCharacter Dataset/round2/213/be_012sg_4_488.jpg,45,ี,47,ื,0.002735,0.877,0.874,0
ThaiCharacter Dataset/round2/210/be_001sg_4_74.jpg,43,า,55,ๅ,0.01549,0.8896,0.874,0
ThaiCharacter Dataset/round2/168/be_011sg_5_54.jpg,5,จ,49,ู,0.01926,0.8926,0.8735,4
ThaiCharacter Dataset/round2/180/bc_016sg_7_135.jpg,15,ด,16,ต,0.01703,0.8906,0.8735,3
ThaiCharacter Dataset/round2/186/be_013sg_5_37.jpg,21,บ,20,น,0.01457,0.887,0.8726,3
ThaiCharacter Dataset/round2/202/bc_014sg_3_45.jpg,36,ส,32,ล,0.01715,0.8896,0.8726,0
ThaiCharacter Dataset/round2/228/bc_020tg_4_401.jpg,54,ไ,53,ใ,0.009094,0.882,0.8726,4
ThaiCharacter Dataset/round2/186/be_011sg_4_18.jpg,21,บ,20,น,0.01484,0.8867,0.872,3
ThaiCharacter Dataset/round2/210/be_018tg_6_12.jpg,43,า,55,ๅ,0.01651,0.887,0.8706,4
ThaiCharacter Dataset/round2/195/bc_014tg_5_93.jpg,30,ร,33,ว,0.01182,0.882,0.87,3
ThaiCharacter Dataset/round2/197/bc_018sg_4_395.jpg,32,ล,36,ส,0.01909,0.888,0.869,0
ThaiCharacter Dataset/round2/187/bc_018sg_4_249.jpg,22,ป,29,ย,0.02045,0.8896,0.869,1
ThaiCharacter Dataset/round2/200/bc_019sg_6_131.jpg,34,ศ,3,ค,0.004837,0.873,0.868,2
ThaiCharacter Dataset/round2/210/be_009sg_4_71.jpg,43,า,55,ๅ,0.02367,0.891,0.8677,1
ThaiCharacter Dataset/round2/210/be_015tg_2_480.jpg,43,า,55,ๅ,0.01634,0.8833,0.867,4
ThaiCharacter Dataset/round2/162/be_002sg_10_162.jpg,1,ข,42,ั,0.00336,0.8687,0.865,4
ThaiCharacter Dataset/round2/186/bc_020tg_7_110.jpg,21,บ,1,ข,0.005856,0.869,0.8633,1
ThaiCharacter Dataset/round2/161/be_006sg_1_453.jpg,0,ก,27,ภ,0.02269,0.8853,0.863,0
ThaiCharacter Dataset/round2/199/bl_005sg_3_125.jpg,33,ว,30,ร,0.0163,0.8774,0.8613,2
ThaiCharacter Dataset/round2/233/bc_014tg_5_39.jpg,59,้,42,ั,0.01828,0.879,0.861,4
ThaiCharacter Dataset/round2/181/be_017sg_7_18.jpg,16,ต,15,ด,0.00311,0.863,0.86,1
ThaiCharacter Dataset/round2/181/bl_006sg_10_5.jpg,16,ต,15,ด,0.005936,0.8643,0.8584,1
ThaiCharacter Dataset/round2/210/bc_019tg_6_238.jpg,43,า,33,ว,0.01779,0.876,0.8584,1
ThaiCharacter Dataset/round2/210/be_011tg_4_81.jpg,43,า,53,ใ,0.01031,0.8687,0.8584,1
ThaiCharacter Dataset/round2/170/bc_014tg_6_132.jpg,7,ช,8,ซ,0.02333,0.882,0.8584,1
ThaiCharacter Dataset/round2/180/be_007tg_3_313.jpg,15,ด,16,ต,0.01707,0.875,0.858,0
ThaiCharacter Dataset/round2/229/bc_004tg_5_84.jpg,55,ๅ,43,า,0.01775,0.875,0.8574,4
ThaiCharacter Dataset/round2/177/ce_001sg_2_254.jpg,12,ฑ,18,ท,0.00357,0.8604,0.857,0
ThaiCharacter Dataset/round2/164/ce_001sg_2_37.jpg,3,ค,15,ด,0.02061,0.877,0.8564,0
ThaiCharacter Dataset/round2/199/bl_004sg_7_113.jpg,33,ว,30,ร,0.0131,0.869,0.856,4
ThaiCharacter Dataset/round2/210/be_013sg_2_192.jpg,43,า,55,ๅ,0.0237,0.879,0.855,0
ThaiCharacter Dataset/round2/180/be_005sg_5_439.jpg,15,ด,16,ต,0.02692,0.8813,0.8545,3
ThaiCharacter Dataset/round2/209/bc_007tg_6_250.jpg,42,ั,59,้,0.02316,0.8774,0.8545,4
ThaiCharacter Dataset/round2/228/bc_020tg_4_486.jpg,54,ไ,53,ใ,0.01628,0.87,0.854,0
ThaiCharacter Dataset/round2/164/bc_008sg_11_240.jpg,3,ค,16,ต,0.002394,0.8555,0.853,4
ThaiCharacter Dataset/round2/233/bc_010sg_5_7.jpg,59,้,42,ั,0.02405,0.8745,0.8506,0
ThaiCharacter Dataset/round2/180/be_004sg_5_36.jpg,15,ด,16,ต,0.02954,0.8784,0.8486,3
ThaiCharacter Dataset/round2/209/bl_003sg_7_412.jpg,42,ั,59,้,0.0589,0.9053,0.846,2
ThaiCharacter Dataset/round2/190/bc_011sg_1_46.jpg,25,พ,14,ณ,0.000972,0.846,0.845,2
ThaiCharacter Dataset/round2/233/bc_015tg_3_377.jpg,59,้,42,ั,0.0344,0.877,0.843,3
ThaiCharacter Dataset/round2/233/bc_014sg_6_318.jpg,59,้,42,ั,0.0316,0.8745,0.843,1
ThaiCharacter Dataset/round2/210/bc_020tg_4_245.jpg,56,ๆ,43,า,0.001847,0.844,0.8423,1
ThaiCharacter Dataset/round2/186/be_013sg_1_395.jpg,21,บ,35,ษ,0.02737,0.8687,0.8413,2
ThaiCharacter Dataset/round2/179/be_018sg_3_83.jpg,14,ณ,9,ญ,0.03168,0.873,0.8413,3
ThaiCharacter Dataset/round2/209/bc_015sg_3_460.jpg,42,ั,59,้,0.0267,0.8657,0.839,0
ThaiCharacter Dataset/round2/193/be_017tg_5_45.jpg,28,ม,21,บ,0.02963,0.8677,0.838,3
ThaiCharacter Dataset/round2/180/bc_015sg_5_336.jpg,15,ด,16,ต,0.0335,0.8706,0.837,3
ThaiCharacter Dataset/round2/183/be_002sg_9_222.jpg,18,ท,25,พ,0.03912,0.873,0.834,2
ThaiCharacter Dataset/round2/233/bc_015sg_3_122.jpg,59,้,42,ั,0.03763,0.87,0.8325,1
ThaiCharacter Dataset/round2/209/bc_017sg_5_76.jpg,42,ั,59,้,0.03568,0.8677,0.832,4
ThaiCharacter Dataset/round2/229/bc_007tg_9_124.jpg,55,ๅ,43,า,0.0276,0.859,0.831,0
ThaiCharacter Dataset/round2/229/be_002sg_6_24.jpg,55,ๅ,43,า,0.03592,0.867,0.831,3
ThaiCharacter Dataset/round2/197/be_002tg_7_119.jpg,32,ล,17,ถ,0.004795,0.8354,0.8306,1
ThaiCharacter Dataset/round2/229/bc_008tg_8_463.jpg,55,ๅ,43,า,0.03555,0.866,0.8306,0
ThaiCharacter Dataset/round2/229/be_002tg_9_404.jpg,55,ๅ,43,า,0.04572,0.876,0.83,3
ThaiCharacter Dataset/round2/215/bl_002tg_8_187.jpg,47,ื,45,ี,0.03754,0.8677,0.83,2
ThaiCharacter Dataset/round2/210/be_006tg_1_330.jpg,43,า,55,ๅ,0.03528,0.8647,0.8296,4
ThaiCharacter Dataset/round2/183/be_008sg_5_312.jpg,18,ท,25,พ,0.04138,0.8706,0.829,2
ThaiCharacter Dataset/round2/210/be_018tg_7_335.jpg,43,า,55,ๅ,0.0436,0.872,0.8286,3
ThaiCharacter Dataset/round2/185/ce_001sg_2_177.jpg,20,น,28,ม,0.02399,0.852,0.828,2
ThaiCharacter Dataset/round2/210/be_012tg_4_72.jpg,43,า,55,ๅ,0.03958,0.866,0.8267,4
ThaiCharacter Dataset/round2/210/be_007tg_3_333.jpg,43,า,55,ๅ,0.04272,0.8687,0.826,3
ThaiCharacter Dataset/round2/248/bc_008sg_11_263.jpg,70,๘,57,็,0.03812,0.8643,0.826,0
ThaiCharacter Dataset/round2/229/be_001sg_2_15.jpg,55,ๅ,43,า,0.03986,0.8657,0.8257,0
ThaiCharacter Dataset/round2/197/bc_012tg_2_185.jpg,32,ล,62,๐,0.03397,0.859,0.8247,0
ThaiCharacter Dataset/round2/161/be_006sg_8_257.jpg,0,ก,17,ถ,0.006123,0.8306,0.824,1
ThaiCharacter Dataset/round2/170/bc_019tg_7_223.jpg,7,ช,8,ซ,0.0393,0.8604,0.8213,0
ThaiCharacter Dataset/round2/161/bc_020sg_4_395.jpg,0,ก,3,ค,0.005062,0.825,0.8203,2
ThaiCharacter Dataset/round2/210/be_011sg_2_79.jpg,43,า,55,ๅ,0.0433,0.8633,0.82,0
ThaiCharacter Dataset/round2/210/be_007tg_3_328.jpg,43,า,55,ๅ,0.0405,0.8604,0.82,0
ThaiCharacter Dataset/round2/248/bc_012tg_2_186.jpg,70,๘,57,็,0.05035,0.87,0.82,3
