path,code
ThaiCharacter Dataset/round2/210/be_001tg_5_72.jpg,210
ThaiCharacter Dataset/round2/210/be_002sg_5_89.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_10_176.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_4_34.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_6_0.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_6_163.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_7_105.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_7_113.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_7_170.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_7_200.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_7_353.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_9_225.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_9_44.jpg,210
ThaiCharacter Dataset/round2/210/be_002tg_9_465.jpg,210
ThaiCharacter Dataset/round2/210/be_006tg_4_70.jpg,210
ThaiCharacter Dataset/round2/210/be_007sg_4_249.jpg,210
ThaiCharacter Dataset/round2/210/be_007sg_7_288.jpg,210
ThaiCharacter Dataset/round2/210/be_007tg_4_250.jpg,210
ThaiCharacter Dataset/round2/210/be_008sg_4_175.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_4_176.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_122.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_15.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_20.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_31.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_4.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_42.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_459.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_58.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_69.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_72.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_76.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_82.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_85.jpg,210
ThaiCharacter Dataset/round2/210/be_008tg_6_90.jpg,210
ThaiCharacter Dataset/round2/210/be_009sg_4_156.jpg,210
ThaiCharacter Dataset/round2/210/be_009sg_4_323.jpg,210
ThaiCharacter Dataset/round2/210/be_009sg_4_404.jpg,210
ThaiCharacter Dataset/round2/210/be_009tg_2_157.jpg,210
ThaiCharacter Dataset/round2/210/be_011sg_2_329.jpg,210
ThaiCharacter Dataset/round2/210/be_011tg_1_323.jpg,210
ThaiCharacter Dataset/round2/210/be_011tg_2_108.jpg,210
ThaiCharacter Dataset/round2/210/be_011tg_2_153.jpg,210
ThaiCharacter Dataset/round2/210/be_011tg_2_3.jpg,210
ThaiCharacter Dataset/round2/210/be_011tg_2_45.jpg,210
ThaiCharacter Dataset/round2/210/be_012sg_4_424.jpg,210
ThaiCharacter Dataset/round2/210/be_013sg_1_3.jpg,210
ThaiCharacter Dataset/round2/210/be_013sg_1_433.jpg,210
ThaiCharacter Dataset/round2/210/be_013sg_6_291.jpg,210
ThaiCharacter Dataset/round2/210/be_013tg_1_437.jpg,210
ThaiCharacter Dataset/round2/210/be_014sg_2_305.jpg,210
ThaiCharacter Dataset/round2/210/be_014sg_2_420.jpg,210
ThaiCharacter Dataset/round2/210/be_014sg_4_240.jpg,210
ThaiCharacter Dataset/round2/210/be_014tg_2_304.jpg,210
ThaiCharacter Dataset/round2/210/be_014tg_3_46.jpg,210
ThaiCharacter Dataset/round2/210/be_016sg_8_140.jpg,210
ThaiCharacter Dataset/round2/210/be_016sg_8_234.jpg,210
ThaiCharacter Dataset/round2/210/be_016tg_8_235.jpg,210
ThaiCharacter Dataset/round2/210/be_017sg_7_485.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_3_382.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_5_40.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_6_270.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_6_279.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_6_281.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_107.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_146.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_278.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_301.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_313.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_7_91.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_9_160.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_9_23.jpg,210
ThaiCharacter Dataset/round2/210/be_018sg_9_239.jpg,210
ThaiCharacter Dataset/round2/210/be_018tg_6_282.jpg,210
ThaiCharacter Dataset/round2/210/be_018tg_6_395.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_3_7.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_3_87.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_5_182.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_5_212.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_5_24.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_5_62.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_6_0.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_6_167.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_6_67.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_7_3.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_8_160.jpg,210
ThaiCharacter Dataset/round2/210/be_019sg_8_59.jpg,210
ThaiCharacter Dataset/round2/210/be_019tg_8_59.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_2_306.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_2_360.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_2_377.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_2_429.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_2_467.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_4_186.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_5_136.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_5_213.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_6_112.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_6_241.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_6_349.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_6_47.jpg,210
ThaiCharacter Dataset/round2/210/be_020sg_6_49.jpg,210
ThaiCharacter Dataset/round2/210/bl_001sg_8_212.jpg,210
ThaiCharacter Dataset/round2/210/bl_001sg_8_274.jpg,210
ThaiCharacter Dataset/round2/210/bl_001sg_8_473.jpg,210
ThaiCharacter Dataset/round2/210/bl_001sg_9_10.jpg,210
ThaiCharacter Dataset/round2/210/bl_001tg_8_478.jpg,210
ThaiCharacter Dataset/round2/210/bl_002sg_10_241.jpg,210
ThaiCharacter Dataset/round2/210/bl_002sg_10_319.jpg,210
ThaiCharacter Dataset/round2/210/bl_002tg_7_29.jpg,210
ThaiCharacter Dataset/round2/210/bl_003sg_5_103.jpg,210
ThaiCharacter Dataset/round2/210/bl_003sg_7_144.jpg,210
ThaiCharacter Dataset/round2/210/bl_003sg_7_450.jpg,210
ThaiCharacter Dataset/round2/210/bl_003tg_7_229.jpg,210
ThaiCharacter Dataset/round2/210/bl_005sg_9_338.jpg,210
ThaiCharacter Dataset/round2/210/bl_006sg_3_146.jpg,210
ThaiCharacter Dataset/round2/210/bl_006sg_3_147.jpg,210
ThaiCharacter Dataset/round2/210/bl_007sg_3_158.jpg,210
ThaiCharacter Dataset/round2/210/bl_007sg_8_390.jpg,210
ThaiCharacter Dataset/round2/210/bl_007sg_8_438.jpg,210
ThaiCharacter Dataset/round2/210/bl_007sg_8_66.jpg,210
ThaiCharacter Dataset/round2/210/bl_007tg_8_292.jpg,210
ThaiCharacter Dataset/round2/210/bl_007tg_8_63.jpg,210
ThaiCharacter Dataset/round2/210/bl_008sg_3_317.jpg,210
ThaiCharacter Dataset/round2/210/bl_011sg_4_413.jpg,210
ThaiCharacter Dataset/round2/210/bl_011tg_4_319.jpg,210
ThaiCharacter Dataset/round2/229/be_011tg_2_13.jpg,229
